name,latitude,longitude,yelp_rating,yelp_review
Le Légendaire Restaurant Bar,48.410642952545814,-71.05336150243492,4.0,6
Boefish,48.4055757601996,-71.0570464618525,4.5,5
Passion Café,48.4092903,-71.0549469,4.0,5
Rôtisserie St-Hubert,48.41331781556463,-71.04919084110449,2.5,4
Ben & Florentine,48.403481,-71.054605,2.5,6
